DEFN-NAME,PARENT[NAME<TYPE>],INST-NAME,LAYER,MATERIAL,ID,X,Y,Z,AREA,SUB-MAT-AREAS

'2X4_05','Electronics_Workbench-02'<Model>,'','Layer0','<Default>',7920,1 1/2",3 1/2",2' 11 1/2",0.23580598,333
'2X4_05','Electronics_Workbench-02'<Model>,'','Layer0','<Default>',7923,1 1/2",3 1/2",2' 11 1/2",0.23580598,333
'2X4_05','Electronics_Workbench-02'<Model>,'','Layer0','<Default>',7938,3 1/2",1 1/2",2' 11 1/2",0.23580598,333
'2X4_05','Electronics_Workbench-02'<Model>,'','Layer0','<Default>',7941,3 1/2",1 1/2",2' 11 1/2",0.23580598,333
'2X4_05','Electronics_Workbench-02'<Model>,'','Layer0','<Default>',7942,3 1/2",1 1/2",2' 11 1/2",0.23580598,333
'2X4_05','Electronics_Workbench-02'<Model>,'','Layer0','<Default>',7943,3 1/2",1 1/2",2' 11 1/2",0.23580598,333
'2X4_08','Electronics_Workbench-02'<Model>,'','Layer0','<Default>',7964,3' 9",1 1/2",3 1/2",0.29709618,333
'2X4_09','Electronics_Workbench-02'<Model>,'','Layer0','<Default>',7965,1 1/2",5' 9",3 1/2",0.45193458,333
'2x4_01','Electronics_Workbench-02'<Model>,'','Layer0','Material1',7919,1 1/2",6',3 1/2",0.47128938,333
'2x4_01','Electronics_Workbench-02'<Model>,'','Layer0','Material1',7922,1 1/2",6',3 1/2",0.47128938,333
'2x4_01','Electronics_Workbench-02'<Model>,'','Layer0','Material1',8024,1 1/2",6',3 1/2",0.47128938,333
'2x4_01','Electronics_Workbench-02'<Model>,'','Layer0','Material1',8035,1 1/2",6',3 1/2",0.47128938,333
'2x4_02','Electronics_Workbench-02'<Model>,'','Layer0','<Default>',7967,1 1/2",3 1/2",5' 2 1/2",0.40999918,333
'2x4_02','Electronics_Workbench-02'<Model>,'','Layer0','<Default>',7975,1 1/2",3 1/2",5' 2 1/2",0.40999918,333
'2x4_02','Electronics_Workbench-02'<Model>,'','Layer0','<Default>',7976,1 1/2",3 1/2",5' 2 1/2",0.40999918,333
'2x4_02','Electronics_Workbench-02'<Model>,'','Layer0','<Default>',7977,1 1/2",3 1/2",5' 2 1/2",0.40999918,333
'2x4_03','Electronics_Workbench-02'<Model>,'','Layer0','01',7916,1' 3",1 1/2",3 1/2",0.10354818,333
'2x4_03','Electronics_Workbench-02'<Model>,'','Layer0','01',7917,1' 3",1 1/2",3 1/2",0.10354818,333
'2x4_03','Electronics_Workbench-02'<Model>,'','Layer0','01',7932,1' 3",1 1/2",3 1/2",0.10354818,333
'2x4_03','Electronics_Workbench-02'<Model>,'','Layer0','01',7933,1' 3",1 1/2",3 1/2",0.10354818,333
'2x4_03','Electronics_Workbench-02'<Model>,'','Layer0','01',7934,1' 3",1 1/2",3 1/2",0.10354818,333
'2x4_03','Electronics_Workbench-02'<Model>,'','Layer0','01',7935,1' 3",1 1/2",3 1/2",0.10354818,333
